"YEAR" "RCONG" "DCONG" "RPRES" "DPRES" "G" "PRCONT" "PDCONT" "TOTPRES" "TOTCONG" "RREP" "DREP" "TR" "INFLAT" "PREVINFL" "PREVGNP" "GNP" "TOTPOP18" "ELIGIBLE" "MRCONG" "MDCONG" "MRPRES" "MDPRES" "MTOTCONG" "MTOTPRES" "MTR" "VRCONG" "VDCONG" "VRPRES" "VDPRES" "VTOTCONG" "VTOTPRES" "VTR" "LMRCONG" "LMDCONG" "LRREP" "LDREP" "REPRATIO" "DRATIO" "RRATIO" "REPSHIFT" "MRATIO1" "MRATIO2" "ON" "ONR1" "ONR2" "OND1" "OND2" "ON1" "ON2" "OFF" "OFF1" "OFF2" "PRESDIF" "RPRESDIF" "LRPDIF" "LPRESDIF" "LMTCONG" "DIFOYTC" "SHIFT" "FDR" "CPOINT" "CPCGNP" "CGNP" "LGNP" "LINFLAT"
"13" 1920 14773000 9038000 16143407 9130328 1 1 0 26748000 25214000 240 190 0 60 51.8 146.4 140 66839000 61235000 0.241250918592308 0.147595329468441 0.263630391116192 0.149103094635421 0.411757981546501 0.436809014452519 0 0.585904656143412 0.358451653843103 0.64025569128262 0.362113429047355 1 1.0608392163084 0 0.217305412880284 0.178486764124852 210 216 0.116279069767442 0.441860465116279 0.558139534883721 0.130232558139535 0 0.411757981546501 1 0 1 1 0 0 1 0 0 0 1.8702914424883e-09 1.8702914424883e-09 0 0 0.414164361912288 0 1 0 1 -0.104515391524455 -6.4 151.8 45.1
"14" 1922 10548000 9131000 0 0 0 1 0 0 20409000 301 131 0 50.2 53.6 127.8 148 69102000 63297000 0.166642968861083 0.144256441853484 0 0 0.32243234276506 0 0 0.516830809936793 0.44740065657308 0 0 1 0 0 0.241250918592308 0.147595329468441 240 190 0.393518518518519 0.303240740740741 0.696759259259259 0.277777777777778 0 0.32243234276506 0 0 0 0 0 0 0 1 0 1 0 0 1.8702914424883e-09 1.8702914424883e-09 0.411757981546501 -0.277036844428874 2 0 1 0.319130448520467 20.2 140 60
"15" 1924 14932000 10845000 15718211 8385283 1 1 0 29086000 26884000 225 205 0 51.2 51.1 165.9 165.5 72035000 65914000 0.226537609612525 0.164532572746306 0.238465439815517 0.127215508086294 0.407864793518828 0.441271960433292 0 0.555423300104151 0.403399791697664 0.584667869364678 0.311906077964589 1 1.08190745424788 0 0.166642968861083 0.144256441853484 301 131 0.0465116279069767 0.476744186046512 0.523255813953488 -0.348837209302326 0 0.407864793518828 1 0 1 1 0 0 1 0 0 0 1.68780428633102e-09 1.68780428633102e-09 0 0 0.32243234276506 0 5 0 1 -0.00606851351761389 -0.400000000000006 148 50.2
"16" 1926 11643000 8284000 0 0 0 1 0 0 20435000 247 183 0 53 52.5 179.4 190 74619000 68244000 0.170608405134517 0.121387960846375 0 0 0.29944024383096 0 0 0.569757768534377 0.405382921458282 0 0 1 0 0 0.226537609612525 0.164532572746306 225 205 0.148837209302326 0.425581395348837 0.574418604651163 0.102325581395349 0 0.29944024383096 0 0 0 0 0 0 0 1 0 1 0 0 1.68780428633102e-09 1.68780428633102e-09 0.407864793518828 -0.362090774108092 6 0 1 0.155325010257312 10.6 165.5 51.2
"17" 1928 19163000 14361000 21391993 15016169 1 1 0 36812000 33906000 237 195 0 51.3 52 189.8 190.9 77325000 70701000 0.271042842392611 0.203123010989944 0.302569878785307 0.212389768178668 0.479568888700301 0.52067156051541 0 0.565180204093671 0.423553353388781 0.630920574529582 0.442876452545272 1 1.08570754438742 0 0.170608405134517 0.121387960846375 247 183 0.0972222222222222 0.451388888888889 0.548611111111111 -0.0509259259259259 0 0.479568888700301 1 0 1 1 0 0 1 0 0 0 1.27551393341875e-09 1.27551393341875e-09 0 0 0.29944024383096 0 9 0 1 0.0155584786636682 1.09999999999999 190 53
"18" 1930 13032000 11044000 0 0 0 1 0 0 24777000 267 167 0 50 51.3 203.6 183.5 80069000 73256000 0.177896691056023 0.15075898219941 0 0 0.338224855301955 0 0 0.525971667272067 0.44573596480607 0 0 1 0 0 0.271042842392611 0.203123010989944 237 195 0.230414746543779 0.384792626728111 0.615207373271889 0.133640552995392 0 0.338224855301955 0 0 0 0 0 0 0 1 0 1 0 0 1.27551393341875e-09 1.27551393341875e-09 0.479568888700301 -0.417899604900887 10 0 1 -0.274380255542208 -20.1 190.9 51.3
"19" 1932 15575000 20540000 15758901 22809638 1 0 1 39732000 37657000 214 220 0 40.9 45.6 169.3 144.2 82295000 75411000 0.206534855657663 0.27237405683521 0.20897350519155 0.302470965774224 0.499356857752848 0.526872737399053 0 0.413601720795602 0.545449717184056 0.418485301537563 0.605721061157288 1 1.05510263695993 0 0.177896691056023 0.15075898219941 267 167 -0.0138248847926267 0.506912442396313 0.493087557603687 -0.244239631336406 0 0.499356857752848 1 0 1 0 1 0 1 0 0 0 -1.23983849282828e-09 -1.23983849282828e-09 0 0 0.338224855301955 0 0 1 1 -0.332842688732413 -25.1 183.5 50
"20" 1934 13558000 17385000 0 0 0 0 1 0 32256000 117 310 0 40.1 38.8 141.5 154.3 84553000 77619000 0.174673726793697 0.223978665017586 0 0 0.415568353109419 0 0 0.420324900793651 0.538969494047619 0 0 1 0 0 0.206534855657663 0.27237405683521 214 220 -0.451990632318501 0.725995316159251 0.274004683840749 -0.437939110070258 0 0.415568353109419 0 0 0 0 0 0 0 1 0 1 0 0 -1.23983849282828e-09 -1.23983849282828e-09 0.499356857752848 -0.201623882127923 0 1 1 0.164908076630722 12.8 144.2 40.9
"21" 1936 17003000 23944000 16674665 27752869 1 0 1 45643000 42886000 103 319 0 41.5 41.1 169.5 193 86791000 79825000 0.213003445036016 0.299956154087065 0.208890259943627 0.347671393673661 0.537250234888819 0.571788286877545 0 0.396469710395001 0.558317399617591 0.388813715431609 0.647131208319731 1 1.06428671361283 0 0.174673726793697 0.223978665017586 117 310 -0.511848341232227 0.755924170616114 0.244075829383886 -0.0545023696682464 0 0.537250234888819 1 0 1 0 1 0 1 0 0 0 -1.73856728756698e-09 -1.73856728756698e-09 0 0 0.415568353109419 0 0 1 1 0.294393986846226 23.5 154.3 40.1
"22" 1938 17047000 17612000 0 0 0 0 1 0 36236000 89 331 0 42.2 43 203.2 192.9 89073000 81978000 0.207946034301886 0.214838127302447 0 0 0.442021030032448 0 0 0.470443757589138 0.486035986311955 0 0 1 0 0 0.213003445036016 0.299956154087065 103 319 -0.576190476190476 0.788095238095238 0.211904761904762 -0.0619047619047619 0 0.442021030032448 0 0 0 0 0 0 0 1 0 1 0 0 -1.73856728756698e-09 -1.73856728756698e-09 0.537250234888819 -0.215440439223855 0 1 1 -0.125643465319964 -10.3 193 41.5
