"CCODE" "COUNTRY" "YEAR" "RENT" "NETOIL" "INCOME" "INCOMENO" "REGIONPO" "REGIONFH" "MUSLIM" "DEMSCORE" "POLITY" "POPULATI" "ELF85D" "ELF85G" "CATHOLIC" "PROTESTA" "ECONFREE" "GDPPC" "GDPPP" "TRADE" "GEO"
"35" 900 "Australia" 1999 0 0.016 9.797571 17990 10.5 10.25 0.01 12 12 16.75821 0.437 0.437 0.278 0.147 1.99 20063.84 25237.74 42.83075 "Oceania"
"36" 305 "Austria" 1995 0 0 9.502861 13398 NA NA 0.018 12 12 15.90081 0.153 0.153 0.779 0.055 2.09 21088.14 25212.78 70.41822 "Europe"
"37" 305 "Austria" 1996 0 0 9.520982 13643 10.72308 10.02222 0.018 12 12 15.9023 0.153 0.153 0.779 0.055 2.06 21608.14 25650.71 72.52026 "Europe"
"38" 305 "Austria" 1997 0 0 9.531118 13782 10.6 10.02222 0.018 12 12 15.90393 0.153 0.153 0.779 0.055 2.03 21988.64 26228.25 79.23875 "Europe"
"39" 305 "Austria" 1998 0 0 9.558742 14168 10.70769 10.06667 0.018 12 12 15.90465 0.153 0.153 0.779 0.055 2.13 22739.28 27147.07 81.98704 "Europe"
"40" 305 "Austria" 1999 0 0 9.57755 14437 10.72308 10.11111 0.018 12 12 15.90639 0.153 0.153 0.779 0.055 2.08 23436.61 28133.76 83.61112 "Europe"
"41" 373 "Azerbaijan" 1995 NA NA NA NA NA NA 0.815 2 2.4 15.85478 0.31 0.31 0.001 0 NA 487.7264 1814.914 87.65714 "Asia"
"42" 373 "Azerbaijan" 1996 NA NA NA NA 4.714286 2.857143 0.815 3 2.4 15.86488 0.31 0.31 0.001 0 4.78 489.1026 1848.147 85.06336 "Asia"
"43" 373 "Azerbaijan" 1997 NA NA NA NA 3.685714 3 0.815 4 2.4 15.87449 0.31 0.31 0.001 0 4.58 512.519 1903.254 82.04625 "Asia"
"44" 373 "Azerbaijan" 1998 NA 0.084 NA NA 3.771428 3.428571 0.815 4 1.8 15.88364 0.31 0.31 0.001 0 4.3 558.4274 2074.975 77.23358 "Asia"
"45" 373 "Azerbaijan" 1999 NA NA NA NA 5.142857 3.285714 0.815 4 1.8 15.89283 0.31 0.31 0.001 0 4.24 594.492 2224.202 69.86122 "Asia"
"46" 692 "Bahrain" 1995 0.634 0.204 9.197457 9872 NA NA 0.837 2 0.6 13.2656 0.501 0.23 0.037 0.008 1.83 11045.62 14563.85 152.4643 "Asia"
"47" 692 "Bahrain" 1996 0.634 0.242 9.190546 9804 2.752941 2.111111 0.837 1 0.6 13.30302 0.501 0.23 0.037 0.008 1.8 11140.74 14601.47 164.1154 "Asia"
