"CCODE" "COUNTRY" "YEAR" "RENT" "NETOIL" "INCOME" "INCOMENO" "REGIONPO" "REGIONFH" "MUSLIM" "DEMSCORE" "POLITY" "POPULATI" "ELF85D" "ELF85G" "CATHOLIC" "PROTESTA" "ECONFREE" "GDPPC" "GDPPP" "TRADE" "GEO"
"145" 710 "China" 1999 0 0 7.902487 2704 7.240002 5.25 0.016 1 1.8 20.94928 0.131 0.131 0.005 0.001 3.56 881.8523 3653.807 37.9669 "Asia"
"146" 100 "Colombia" 1995 0.077 0.026 8.226841 3740 NA NA 0.001 6 10.2 17.46767 0.596 0.596 0.962 0.021 3.05 2076.741 6448.832 35.49723 "Latin America"
"147" 100 "Colombia" 1996 0.074 0.036 8.228711 3747 9.9 8.5625 0.001 6 10.2 17.48635 0.596 0.596 0.962 0.021 3.1 2080.547 6487.439 36.04411 "Latin America"
"148" 100 "Colombia" 1997 0.061 0.03 8.243282 3802 10.11818 8.90625 0.001 6 10.2 17.50544 0.596 0.596 0.962 0.021 3.23 2113.241 6596.786 35.59707 "Latin America"
"149" 100 "Colombia" 1998 0.062 0.03 8.229244 3749 10.14545 8.90625 0.001 7 10.2 17.52429 0.596 0.596 0.962 0.021 3.19 2087.89 6488.697 35.90892 "Latin America"
"150" 100 "Colombia" 1999 NA 0.05 8.167352 3524 10.14545 8.9375 0.001 6 10.8 17.54214 0.596 0.596 0.962 0.021 3.09 1965.664 6106.98 36.14928 "Latin America"
"151" 581 "Comoros" 1995 0 NA 6.124683 457 NA NA 0.981 6 NA 13.10623 0.084 0.084 0.009 0.001 NA 386.2693 1807.568 64.32982 "Africa"
"152" 581 "Comoros" 1996 0 NA 6.098074 445 NA 4.934783 0.981 6 8.4 13.13168 0.084 0.084 0.009 0.001 NA 373.1303 1750.956 59.70463 "Africa"
"153" 581 "Comoros" 1997 0 NA 6.077642 436 6.046152 4.956522 0.981 5 8.4 13.157 0.084 0.084 0.009 0.001 NA 380.7368 1787.535 61.16688 "Africa"
"154" 581 "Comoros" 1998 0 NA 6.047372 423 5.82 4.891304 0.981 5 8.4 13.18218 0.084 0.084 0.009 0.001 NA 377.077 1775.33 46.5285 "Africa"
"155" 581 "Comoros" 1999 0 NA 6.008813 407 5.772973 5.23913 0.981 4 4.8 13.20722 0.084 0.084 0.009 0.001 NA 376.3027 1767.061 47.05568 "Africa"
"156" 484 "Congo" 1995 0.525 0.357 7.601402 2001 NA NA 0.011 6 9 14.75591 0.684 0.667 0.487 0.164 NA 978.7371 1217.862 128.309 "Africa"
"157" 484 "Congo" 1996 0.596 NA 7.529407 1862 6.03243 4.934783 0.011 6 9 14.78391 0.684 0.667 0.487 0.164 4.49 987.5726 1245.444 128.6758 "Africa"
"158" 484 "Congo" 1997 0.769 NA 7.495542 1800 6.030768 4.956522 0.011 2 2.4 14.81157 0.684 0.667 0.487 0.164 4.43 949.3848 958.9044 135.7823 "Africa"
"159" 484 "Congo" 1998 0.531 NA 7.504942 1817 5.97 4.956522 0.011 2 2.4 14.8389 0.684 0.667 0.487 0.164 4.71 952.2202 906.18 148.9175 "Africa"
"160" 484 "Congo" 1999 0.717 NA 7.447168 1715 5.935134 5.304348 0.011 3 2.4 14.8659 0.684 0.667 0.487 0.164 4.26 893.8204 923.8514 131.4083 "Africa"
"161" 94 "Costa Rica" 1995 0 0 8.266165 3890 NA NA 0 11 12 15.01938 0.458 0.458 0.918 0.079 3.04 3607.677 7199.553 77.92092 "Latin America"
"162" 94 "Costa Rica" 1996 0 0 8.250359 3829 9.818184 8.40625 0 11 12 15.0387 0.458 0.458 0.918 0.079 3 3549.246 7056.815 82.10111 "Latin America"
"163" 94 "Costa Rica" 1997 0 0 8.287528 3974 10.03636 8.75 0 11 12 15.05793 0.458 0.458 0.918 0.079 3.03 3653.341 7292.07 85.33521 "Latin America"
"164" 94 "Costa Rica" 1998 0 0 8.346642 4216 10.06364 8.75 0 11 12 15.07568 0.458 0.458 0.918 0.079 3 3861.972 7817.946 97.5732 "Latin America"
"165" 94 "Costa Rica" 1999 0 0 8.405591 4472 10.06364 8.8125 0 11 12 15.09338 0.458 0.458 0.918 0.079 3 4079.521 9025.463 97.67203 "Latin America"
"166" 437 "Cote d'Ivoire" 1995 0 0 6.997596 1094 NA NA 0.295 3 2.4 16.44596 0.896 0.859 0.146 0.05 3.43 603.1824 1563.195 76.20235 "Africa"
"167" 437 "Cote d'Ivoire" 1996 0 0 7.034388 1135 6.21081 5 0.295 3 2.4 16.47587 0.896 0.859 0.146 0.05 3.83 631.8886 1612.232 73.51928 "Africa"
"168" 437 "Cote d'Ivoire" 1997 0 NA 7.069874 1176 6.199998 5.021739 0.295 4 2.4 16.50473 0.896 0.859 0.146 0.05 3.8 650.1272 1633.881 74.51004 "Africa"
"169" 437 "Cote d'Ivoire" 1998 0 NA 7.085901 1195 5.97 4.913043 0.295 4 2.4 16.53254 0.896 0.859 0.146 0.05 3.74 663.6821 1664.792 72.46158 "Africa"
"170" 437 "Cote d'Ivoire" 1999 0 NA 7.086738 1196 5.935134 5.26087 0.295 4 NA 16.55928 0.896 0.859 0.146 0.05 3.73 658.399 1660.744 72.53619 "Africa"
"171" 344 "Croatia" 1995 NA 0 NA NA NA NA 0.023 6 3 15.35646 0.416 0.416 0.885 0.006 NA 3337.125 7419.732 88.05738 "Europe"
"172" 344 "Croatia" 1996 NA 0 NA NA 10.95385 10.15556 0.023 6 3 15.31825 0.416 0.416 0.885 0.006 3.58 3675.69 8188.789 89.8608 "Europe"
"173" 344 "Croatia" 1997 NA 0 NA NA 10.83077 10.15556 0.023 6 3 15.33546 0.416 0.416 0.885 0.006 3.56 3856.917 8572.41 97.91061 "Europe"
"174" 344 "Croatia" 1998 NA 0 NA NA 10.93846 10.2 0.023 6 3 15.31981 0.416 0.416 0.885 0.006 3.63 4015.785 8984.112 88.83926 "Europe"
"175" 344 "Croatia" 1999 NA 0 NA NA 10.95385 10.24444 0.023 6 NA 15.31156 0.416 0.416 0.885 0.006 3.55 3937.457 8905.968 90.24477 "Europe"
"176" 40 "Cuba" 1995 NA NA NA NA NA NA 0.001 0 1.8 16.21013 0.638 0.638 0.4 0.016 4.95 NA NA NA "Latin America"
"177" 40 "Cuba" 1996 NA NA NA NA 10.28182 8.75 0.001 0 1.8 16.21513 0.638 0.638 0.4 0.016 4.95 NA NA NA "Latin America"
"178" 40 "Cuba" 1997 NA NA NA NA 10.5 9.09375 0.001 0 1.8 16.21876 0.638 0.638 0.4 0.016 4.85 NA NA NA "Latin America"
"179" 40 "Cuba" 1998 NA NA NA NA 10.52727 9.09375 0.001 0 1.8 16.22444 0.638 0.638 0.4 0.016 4.9 NA NA NA "Latin America"
"180" 40 "Cuba" 1999 NA NA NA NA 10.52727 9.15625 0.001 0 1.8 16.22946 0.638 0.638 0.4 0.016 4.85 NA NA NA "Latin America"
"181" 352 "Cyprus" 1995 0 0 9.214133 10038 NA NA 0.01 12 12 13.5049 0.329 0.329 0.016 0.007 NA 10398.61 16898.63 96.59811 "Asia"
"182" 352 "Cyprus" 1996 0 0 9.223454 10132 10.72308 10.02222 0.01 12 12 13.51441 0.329 0.329 0.016 0.007 2.69 10437.93 17040.62 100.0337 "Asia"
"183" 352 "Cyprus" 1997 0 0 9.239511 10296 10.6 10.02222 0.01 12 12 13.52347 0.329 0.329 0.016 0.007 2.68 10529.15 17142.03 99.14172 "Asia"
"184" 352 "Cyprus" 1998 0 0 9.273878 10656 10.70769 10.06667 0.01 12 12 13.53315 0.329 0.329 0.016 0.007 2.64 10893.35 16863.33 91.35683 "Asia"
"185" 352 "Cyprus" 1999 0 0 9.309371 11041 10.72308 10.11111 0.01 12 11.4 13.54169 0.329 0.329 0.016 0.007 2.66 11232.15 19153.15 89.35215 "Asia"
"186" 316 "Czech Republic" 1995 0 0 8.272315 3914 NA NA 0 11 12 16.15066 0.107 0.107 0.401 0.031 2.43 5017.282 13900.6 105.7344 "Europe"
"187" 316 "Czech Republic" 1996 0 0 8.320935 4109 10.72308 10.04444 0 11 12 16.14911 0.107 0.107 0.401 0.031 2.38 5234.059 14646.88 104.9738 "Europe"
"188" 316 "Czech Republic" 1997 0 0 8.311644 4071 10.6 10.04444 0 11 12 16.14805 0.107 0.107 0.401 0.031 2.34 5201.501 14588.94 110.785 "Europe"
"189" 316 "Czech Republic" 1998 0 0 8.290293 3985 10.70769 10.08889 0 11 12 16.14716 0.107 0.107 0.401 0.031 2.48 5146.395 14492.25 111.2839 "Europe"
"190" 316 "Czech Republic" 1999 0 0 8.289539 3982 10.72308 10.13333 0 11 11.4 16.14553 0.107 0.107 0.401 0.031 2.19 5214.573 14757.16 114.1177 "Europe"
"191" 490 "Democratic Republic of Congo" 1995 NA NA 5.411646 224 NA NA 0.012 1 NA 17.59624 0.902 0.902 0.502 0.208 3.89 117.0701 958.2446 52.20853 "Africa"
"192" 490 "Democratic Republic of Congo" 1996 NA NA 5.370638 215 NA 5.043478 0.012 1 NA 17.62781 0.902 0.902 0.502 0.208 4.29 113.047 855.0099 60.31626 "Africa"
"193" 490 "Democratic Republic of Congo" 1997 NA NA 5.283204 197 NA 5.065217 0.012 1 NA 17.65946 0.902 0.902 0.502 0.208 4.39 104.4899 792.0076 33.75 "Africa"
"194" 490 "Democratic Republic of Congo" 1998 NA NA 5.278115 196 NA 4.978261 0.012 1 NA 17.6912 0.902 0.902 0.502 0.208 4.29 100.8534 761.3655 62.67931 "Africa"
"195" 490 "Democratic Republic of Congo" 1999 NA NA NA NA NA 5.326087 0.012 1 NA 17.72303 0.902 0.902 0.502 0.208 4.59 94.53508 729.8237 41.10065 "Africa"
"196" 390 "Denmark" 1995 0 0 9.622517 15101 NA NA 0.011 12 12 15.46954 0.061 0.061 0.006 0.911 NA 26510.44 25504.01 66.59807 "Europe"
"197" 390 "Denmark" 1996 0 0.003 9.640888 15381 10.72308 10.02222 0.011 12 12 15.47602 0.061 0.061 0.006 0.911 2.18 27002.53 25994.71 66.4985 "Europe"
"198" 390 "Denmark" 1997 0 0.001 9.667575 15797 10.6 10.02222 0.011 12 12 15.48024 0.061 0.061 0.006 0.911 2.03 27687.48 26684.79 69.28598 "Europe"
"199" 390 "Denmark" 1998 0 0 9.689489 16147 10.70769 10.06667 0.011 12 12 15.48341 0.061 0.061 0.006 0.911 2.16 28281 27150.68 69.44583 "Europe"
"200" 390 "Denmark" 1999 0 0.003 9.701432 16341 10.72308 10.11111 0.011 12 12 15.48811 0.061 0.061 0.006 0.911 2.18 28928.02 27711.33 71.23359 "Europe"
"201" 522 "Djibouti" 1995 NA NA NA NA NA NA 0.937 3 1.8 13.30635 0.713 0.606 0.016 0 NA 917.3524 2217.724 98.38111 "Africa"
"202" 522 "Djibouti" 1996 NA NA NA NA 6.227028 5 0.937 3 2.4 13.32508 0.713 0.606 0.016 0 NA 863.3741 2093.124 98.39285 "Africa"
"203" 522 "Djibouti" 1997 NA NA NA NA 6.199998 5.021739 0.937 3 2.4 13.34381 0.713 0.606 0.016 0 3.18 830.0344 2027.261 98.36349 "Africa"
"204" 522 "Djibouti" 1998 NA NA NA NA 5.97 4.934783 0.937 3 2.4 13.36255 0.713 0.606 0.016 0 3.29 801.6845 1965.051 110.9688 "Africa"
"205" 522 "Djibouti" 1999 NA NA NA NA 5.935134 5.282609 0.937 3 7.8 13.38126 0.713 0.606 0.016 0 3.28 791.6224 1936.102 107.7194 "Africa"
"206" 42 "Dominican Republic" 1995 0 NA 7.781556 2396 NA NA 0 7 9 15.87258 0.483 0.483 0.89 0.04 3.63 1767.608 4812.058 65.21825 "Latin America"
"207" 42 "Dominican Republic" 1996 0 NA 7.833996 2525 9.954546 8.53125 0 8 10.8 15.89039 0.483 0.483 0.89 0.04 3.34 1867.523 5030.315 66.22438 "Latin America"
"208" 42 "Dominican Republic" 1997 0 NA 7.894691 2683 10.09091 8.84375 0 8 10.8 15.90827 0.483 0.483 0.89 0.04 3.24 1991 5353.835 98.31921 "Latin America"
"209" 42 "Dominican Republic" 1998 0 NA 7.947679 2829 10.11818 8.84375 0 9 10.8 15.92623 0.483 0.483 0.89 0.04 3.26 2106.835 5685.416 103.0552 "Latin America"
"210" 42 "Dominican Republic" 1999 0 NA 8.009363 3009 10.11818 8.875 0 9 10.8 15.94427 0.483 0.483 0.89 0.04 3.2 2241.916 6049.523 99.24739 "Latin America"
"211" 130 "Ecuador" 1995 0.328 0.072 7.968319 2888 NA NA 0 9 11.4 16.25437 0.657 0.488 0.949 0.018 3.39 1334.686 3319.699 53.98594 "Latin America"
"212" 130 "Ecuador" 1996 0.377 0.085 7.96728 2885 9.845454 8.46875 0 8 11.4 16.27493 0.657 0.488 0.949 0.018 3.33 1343.643 3350.208 50.4796 "Latin America"
"213" 130 "Ecuador" 1997 0.288 0.059 7.980366 2923 10.06364 8.84375 0 8 10.8 16.29515 0.657 0.488 0.949 0.018 3.26 1376.197 3414.699 51.34541 "Latin America"
"214" 130 "Ecuador" 1998 0.227 0.032 7.964503 2877 10.11818 8.84375 0 9 11.4 16.3149 0.657 0.488 0.949 0.018 3.15 1384.464 3460.123 49.84734 "Latin America"
"215" 130 "Ecuador" 1999 0.298 0.066 7.869784 2617 10.09091 8.875 0 9 10.8 16.33418 0.657 0.488 0.949 0.018 3.14 1278.543 3292.596 56.48315 "Latin America"
"216" 651 "Egypt" 1995 0.127 0.019 7.585789 1970 NA NA 0.841 2 4.2 17.87905 0.025 0.025 0.004 0.007 3.69 1268.45 3025.143 49.95098 "Africa"
"217" 651 "Egypt" 1996 0.118 0.022 7.615791 2030 2.541176 2.111111 0.841 2 4.2 17.89765 0.025 0.025 0.004 0.007 3.4 1307.343 3100.496 46.13615 "Africa"
"218" 651 "Egypt" 1997 0.1 0.019 7.650645 2102 2.541176 2.111111 0.841 2 4.2 17.91644 0.025 0.025 0.004 0.007 3.49 1353.484 3196.097 43.73825 "Africa"
"219" 651 "Egypt" 1998 0.07 0.002 7.686621 2179 2.82353 2.166667 0.841 2 4.2 17.93494 0.025 0.025 0.004 0.007 3.26 1411.11 3325.594 41.92763 "Africa"
"220" 651 "Egypt" 1999 0.058 0.004 7.726654 2268 2.788235 2.222222 0.841 2 2.4 17.95315 0.025 0.025 0.004 0.007 3.3 1469.033 3473.208 38.36151 "Africa"
"221" 92 "El Salvador" 1995 0 0 7.663408 2129 NA NA 0 8 10.2 15.55052 0.159 0.159 0.913 0.082 2.89 1993.226 4338.72 59.39542 "Latin America"
"222" 92 "El Salvador" 1996 0 0 7.659643 2121 9.9 8.5 0 8 10.2 15.5713 0.159 0.159 0.913 0.082 2.68 1984.701 4316.018 55.00726 "Latin America"
"223" 92 "El Salvador" 1997 0 0 7.680176 2165 10.11818 8.84375 0 9 10.2 15.59233 0.159 0.159 0.913 0.082 2.55 2026.165 4386.636 63.44594 "Latin America"
"224" 92 "El Salvador" 1998 0 0 7.693481 2194 10.14545 8.8125 0 9 10.2 15.61309 0.159 0.159 0.913 0.082 2.61 2059.404 4498.153 61.87316 "Latin America"
"225" 92 "El Salvador" 1999 0 0 7.707962 2226 10.14545 8.875 0 9 10.2 15.63259 0.159 0.159 0.913 0.082 2.38 2087.956 4602.782 62.21789 "Latin America"
"226" 411 "Equatorial Guinea" 1995 NA NA NA NA NA NA 0.04 0 3 12.89672 0.465 0.465 0.862 0.043 NA 870.7834 1584.561 159.4184 "Africa"
"227" 411 "Equatorial Guinea" 1996 NA NA NA NA 6.194592 5.065217 0.04 0 3 12.92255 0.465 0.465 0.862 0.043 NA 1097.674 2370.656 237.9944 "Africa"
"228" 411 "Equatorial Guinea" 1997 NA NA NA NA 6.184614 5.086957 0.04 0 3 12.94868 0.465 0.465 0.862 0.043 NA 1834.23 3729.055 224.1884 "Africa"
"229" 411 "Equatorial Guinea" 1998 NA NA NA NA 5.955 5 0.04 0 3 12.97479 0.465 0.465 0.862 0.043 NA 2182.951 4173.422 275.2324 "Africa"
"230" 411 "Equatorial Guinea" 1999 NA NA NA NA 5.918919 5.347826 0.04 0 3 13.0006 0.465 0.465 0.862 0.043 4.36 3014.816 10718.66 NA "Africa"
"231" 531 "Eritrea" 1995 NA NA NA NA NA NA 0.452 4 2.4 15.0892 0.645 0.645 0.035 0.006 NA 196.202 992.1426 105.3226 "Africa"
"232" 531 "Eritrea" 1996 NA NA NA NA 6.21081 4.978261 0.452 4 2.4 15.1157 0.645 0.645 0.035 0.006 NA 210.918 1092.62 116.6175 "Africa"
"233" 531 "Eritrea" 1997 NA NA NA NA 6.199998 5 0.452 4 2.4 15.14338 0.645 0.645 0.035 0.006 NA 222.5205 1145.6 115.4148 "Africa"
"234" 531 "Eritrea" 1998 NA NA NA NA 5.97 4.913043 0.452 4 2.4 15.17109 0.645 0.645 0.035 0.006 NA 220.1018 1121.058 94.92757 "Africa"
"235" 531 "Eritrea" 1999 NA NA NA NA 5.935134 5.26087 0.452 2 2.4 15.19955 0.645 0.645 0.035 0.006 NA 212.8782 1081.438 91.3938 "Africa"
"236" 366 "Estonia" 1995 NA 0 NA NA NA NA 0.003 10 9.6 14.21025 0.528 0.528 0.003 0.153 2.45 2906.171 6828.984 144.5163 "Europe"
"237" 366 "Estonia" 1996 NA 0 NA NA 10.78462 10.06667 0.003 11 9.6 14.20009 0.528 0.528 0.003 0.153 2.44 3079.048 7236.562 137.0454 "Europe"
"238" 366 "Estonia" 1997 NA 0 NA NA 10.66154 10.04444 0.003 11 9.6 14.19257 0.528 0.528 0.003 0.153 2.46 3459.859 8381.092 157.601 "Europe"
"239" 366 "Estonia" 1998 NA 0 NA NA 10.76923 10.08889 0.003 11 9.6 14.18687 0.528 0.528 0.003 0.153 2.43 3649.525 8711.305 160.3126 "Europe"
"240" 366 "Estonia" 1999 NA 0 NA NA 10.78462 10.13333 0.003 11 9.6 14.18181 0.528 0.528 0.003 0.153 2.29 3688.796 8836.401 149.0844 "Europe"
"241" 529 "Ethiopia" 1995 0 0 5.796058 329 NA NA 0.314 5 6.6 17.85028 0.693 0.691 0.007 0.038 3.9 90.18615 568.1445 35.67171 "Africa"
"242" 529 "Ethiopia" 1996 0 NA 5.869297 354 6.097296 4.956522 0.314 5 6.6 17.87998 0.693 0.691 0.007 0.038 3.8 97.09544 609.9415 36.08595 "Africa"
"243" 529 "Ethiopia" 1997 0 NA 5.894403 363 6.09231 4.978261 0.314 5 6.6 17.90568 0.693 0.691 0.007 0.038 3.85 99.72662 630.5762 40.73083 "Africa"
"244" 529 "Ethiopia" 1998 0 NA 5.855072 349 5.865 4.891304 0.314 6 6.6 17.93074 0.693 0.691 0.007 0.038 3.7 95.44794 599.8051 41.33587 "Africa"
"245" 529 "Ethiopia" 1999 0 NA 5.891644 362 5.821622 5.217391 0.314 4 6.6 17.95518 0.693 0.691 0.007 0.038 3.68 98.1363 614.6964 43.08397 "Africa"
"246" 950 "Fiji" 1995 0 NA 8.369389 4313 NA NA 0.07 7 9 13.55415 0.684 0.536 0.099 0.449 3.49 2003.033 4862.191 112.9814 "Oceania"
"247" 950 "Fiji" 1996 0 NA 8.395477 4427 12 10.83333 0.07 7 9 13.56148 0.684 0.536 0.099 0.449 3.24 2040.821 4916.93 118.6135 "Oceania"
"248" 950 "Fiji" 1997 0 NA 8.368693 4310 12 10.83333 0.07 7 9 13.57021 0.684 0.536 0.099 0.449 3.23 1999.802 4843.388 115.4183 "Oceania"
"249" 950 "Fiji" 1998 0 NA 8.345455 4211 12 10.75 0.07 7 9 13.58033 0.684 0.536 0.099 0.449 3.23 2006.155 4938.928 114.4538 "Oceania"
"250" 950 "Fiji" 1999 0 NA 8.407155 4479 12 10.66667 0.07 9 9.6 13.59362 0.684 0.536 0.099 0.449 3.29 2118.538 5238.385 124.0559 "Oceania"
"251" 375 "Finland" 1995 0 0 9.444305 12636 NA NA 0.002 12 12 15.44632 0.129 0.129 0.001 0.903 NA 18637.42 21062.58 65.54974 "Europe"
"252" 375 "Finland" 1996 0 0 9.480291 13099 10.72308 10.02222 0.002 12 12 15.44964 0.129 0.129 0.001 0.903 2.39 19298.81 21632.83 67.08539 "Europe"
"253" 375 "Finland" 1997 0 0 9.538421 13883 10.6 10.02222 0.002 12 12 15.45253 0.129 0.129 0.001 0.903 2.23 20446.42 22713.54 69.5534 "Europe"
"254" 375 "Finland" 1998 0 0 9.589188 14606 10.70769 10.06667 0.002 12 12 15.45509 0.129 0.129 0.001 0.903 2.09 21413.84 23889.57 68.34779 "Europe"
"255" 375 "Finland" 1999 0 0 9.626019 15154 10.72308 10.11111 0.002 12 12 15.45761 0.129 0.129 0.001 0.903 2.19 22082.46 24420.05 67.05755 "Europe"
"256" 220 "France" 1995 0 0 9.55853 14165 NA NA 0.068 11 11.4 17.87332 0.318 0.318 0.832 0.016 2.35 19908.64 22962.82 44.40293 "Europe"
"257" 220 "France" 1996 0 0 9.566335 14276 10.73846 10.04444 0.068 11 11.4 17.87646 0.318 0.318 0.832 0.016 2.36 20063.49 23060.78 44.85842 "Europe"
"258" 220 "France" 1997 0 0 9.58211 14503 10.61539 10.04444 0.068 11 11.4 17.87958 0.318 0.318 0.832 0.016 2.38 20481.08 23508.8 48.46278 "Europe"
"259" 220 "France" 1998 0 0 9.609183 14901 10.72308 10.08889 0.068 11 11.4 17.8828 0.318 0.318 0.832 0.016 2.39 21142.67 24245.04 49.89517 "Europe"
"260" 220 "France" 1999 0 0 9.63417 15278 10.73846 10.13333 0.068 11 11.4 17.88659 0.318 0.318 0.832 0.016 2.39 21767.08 24769.63 50.24553 "Europe"
"261" 481 "Gabon" 1995 0.619 NA 8.24486 3808 NA NA 0.043 5 3.6 13.909 0.808 0.743 0.615 0.188 3.19 4058.536 6437.132 91.3683 "Africa"
"262" 481 "Gabon" 1996 0.648 0.471 8.270781 3908 6.17838 4.956522 0.043 5 3.6 13.93329 0.808 0.743 0.615 0.188 3.63 4147.484 6609.255 93.95219 "Africa"
"263" 481 "Gabon" 1997 0.625 NA 8.302514 4034 6.16923 4.978261 0.043 5 3.6 13.95749 0.808 0.743 0.615 0.188 3.31 4266.68 6610.158 96.45247 "Africa"
"264" 481 "Gabon" 1998 0.546 NA 8.299286 4021 5.94 4.891304 0.043 5 3.6 13.98132 0.808 0.743 0.615 0.188 3.18 4242.886 6537.082 90.05505 "Africa"
"265" 481 "Gabon" 1999 0.453 NA 8.211755 3684 5.902703 5.23913 0.043 5 3.6 14.00482 0.808 0.743 0.615 0.188 3.09 3884.981 6018.418 83.47203 "Africa"
"266" 420 "Gambia" 1995 0 0 6.598509 734 NA NA 0.86 1 1.8 13.92077 0.716 0.716 0.024 0.003 NA 302.9378 1576.835 121.9627 "Africa"
"267" 420 "Gambia" 1996 0 0 6.590301 728 6.227028 5.043478 0.86 1 2.4 13.95168 0.716 0.716 0.024 0.003 NA 299.2527 1563.319 110.3983 "Africa"
"268" 420 "Gambia" 1997 0 0 6.608001 741 6.199998 5.065217 0.86 1 3 13.98177 0.716 0.716 0.024 0.003 3.6 303.4557 1592.193 94.79187 "Africa"
"269" 420 "Gambia" 1998 0 0 6.625392 754 5.955 4.978261 0.86 2 3 14.01103 0.716 0.716 0.024 0.003 3.71 303.7815 1640.069 108.6707 "Africa"
"270" 420 "Gambia" 1999 0 NA 6.659294 780 5.918919 5.304348 0.86 2 3 14.03945 0.716 0.716 0.024 0.003 3.55 312.8856 1690.745 98.86375 "Africa"
"271" 372 "Georgia" 1995 NA NA NA NA NA NA 0.191 5 9 15.50505 0.493 0.493 0.006 0 NA 457.6513 1443.627 67.82867 "Asia"
"272" 372 "Georgia" 1996 NA NA NA NA 3.771428 2.428571 0.191 6 9 15.50561 0.493 0.493 0.006 0 3.99 517.019 1595.155 45.69684 "Asia"
"273" 372 "Georgia" 1997 NA NA NA NA 2.742857 2.571429 0.191 7 9 15.50763 0.493 0.493 0.006 0 3.93 579.2581 1684.94 57.75272 "Asia"
"274" 372 "Georgia" 1998 NA NA NA NA 2.828572 3 0.191 7 9 15.50966 0.493 0.493 0.006 0 3.83 604.4227 1730.196 53.56664 "Asia"
"275" 372 "Georgia" 1999 NA NA NA NA 4.114286 2.857143 0.191 7 9 15.51149 0.493 0.493 0.006 0 3.9 628.8937 1802.249 57.15191 "Asia"
"276" 255 "Germany" 1995 0 0 9.613069 14959 NA NA 0.044 11 12 18.21785 0.111 0.111 0.349 0.37 2.2 21073.22 23185.27 47.44029 "Europe"
"277" 255 "Germany" 1996 0 0 9.617271 15022 10.72308 10.04444 0.044 11 12 18.22116 0.111 0.111 0.349 0.37 2.31 21212.55 23288.47 48.89243 "Europe"
"278" 255 "Germany" 1997 0 0 9.629708 15210 10.6 10.04444 0.044 11 12 18.22309 0.111 0.111 0.349 0.37 2.2 21553.48 23709.71 53.69601 "Europe"
"279" 255 "Germany" 1998 0 0 9.651301 15542 10.70769 10.08889 0.044 11 12 18.2228 0.111 0.111 0.349 0.37 2.41 21997.51 24274.42 55.95152 "Europe"
"280" 255 "Germany" 1999 0 0 9.665167 15759 10.72308 10.13333 0.044 11 12 18.22345 0.111 0.111 0.349 0.37 2.31 22428.94 24759.04 57.92942 "Europe"
"281" 452 "Ghana" 1995 NA NA 6.902743 995 NA NA 0.194 6 5.4 16.65313 0.874 0.683 0.099 0.159 3.54 227.2892 1701.507 57.42309 "Africa"
"282" 452 "Ghana" 1996 NA NA 6.922644 1015 6.129732 4.934783 0.194 7 7.2 16.67817 0.874 0.683 0.099 0.159 3.54 232.0596 1737.447 72.20495 "Africa"
"283" 452 "Ghana" 1997 NA NA 6.939254 1032 6.076926 4.934783 0.194 8 7.2 16.70242 0.874 0.683 0.099 0.159 3.43 236.2512 1766.477 85.40184 "Africa"
"284" 452 "Ghana" 1998 NA NA 6.962244 1056 5.85 4.826087 0.194 8 7.2 16.72588 0.874 0.683 0.099 0.159 3.29 241.858 1810.026 80.59955 "Africa"
"285" 452 "Ghana" 1999 NA 0 6.981935 1077 5.805405 5.173913 0.194 8 7.2 16.74854 0.874 0.683 0.099 0.159 3.29 246.9883 1850.187 82.09563 "Africa"
"286" 350 "Greece" 1995 0 0 8.85109 6982 NA NA 0.03 10 12 16.16288 0.085 0.085 0.022 0.002 3.2 8899.716 14735.19 42.56509 "Europe"
"287" 350 "Greece" 1996 0 0 8.872767 7135 10.72308 10.06667 0.03 10 12 16.1645 0.085 0.085 0.022 0.002 3 9045.8 15031.58 43.02398 "Europe"
"288" 350 "Greece" 1997 0 0 8.904359 7364 10.6 10.06667 0.03 10 12 16.1666 0.085 0.085 0.022 0.002 2.86 9315.703 15478.35 46.72598 "Europe"
"289" 350 "Greece" 1998 0 0 8.938532 7620 10.70769 10.11111 0.03 10 12 16.16831 0.085 0.085 0.022 0.002 2.94 9577.512 15927.59 48.02832 "Europe"
"290" 350 "Greece" 1999 0 0 8.969288 7858 10.72308 10.15556 0.03 10 12 16.1705 0.085 0.085 0.022 0.002 2.93 9861.317 16622.8 53.37043 "Europe"
"291" 90 "Guatemala" 1995 0 0 7.765145 2357 NA NA 0 5 7.8 16.11569 0.758 0.51 0.84 0.121 3.36 1593.932 3670.381 44.68943 "Latin America"
"292" 90 "Guatemala" 1996 0 0 7.767687 2363 10.00909 8.59375 0 7 10.8 16.14211 0.758 0.51 0.84 0.121 3.1 1604.589 3700.914 40.39295 "Latin America"
"293" 90 "Guatemala" 1997 0 0 7.784057 2402 10.09091 8.875 0 7 10.8 16.1685 0.758 0.51 0.84 0.121 2.94 1637.551 3774.824 41.55195 "Latin America"
"294" 90 "Guatemala" 1998 0 0 7.806289 2456 10.11818 8.875 0 7 10.8 16.19496 0.758 0.51 0.84 0.121 2.96 1681.139 3859.181 44.42374 "Latin America"
