"V3543" "V3547" "V3551" "INTER1" "INTER2" "INTER3" "INTER4" "INFO1" "INFO2" "DEMCAND1" "DEMCAND2" "DEMCAND3" "REPCAND1" "REPCAND2" "REPCAND3" "DEMPART1" "DEMPART2" "DEMPART3" "REPPART1" "REPPART2" "REPPART3" "PARTIES1" "PARTIES2" "PARTIES3" "INDFEEL1" "INDFEEL2" "INDFEEL3" "CARFEEL1" "CARFEEL2" "CARFEEL3" "REAFEEL1" "REAFEEL2" "REAFEEL3" "KENFEEL1" "KENFEEL2" "KENFEEL3" "NEWV121" "NEWV2125" "NEWV3213" "NEWV122" "NEWV2126" "NEWV3214" "NEWV123" "NEWV2127" "NEWV3215" "NEWV130" "NEWV2134" "NEWV3224" "NEWV131" "NEWV2135" "NEWV3225" "PARTYID1" "PARTYID2" "PARTYID3" "PARTYID4" "PARTYID" "NEWV251" "NEWV2272" "NEWV3081" "COMMUN1" "COMMUN2" "COMMUN4" "COMMALL" "EDUC" "INC" "REL" "RELFREQ" "STATUS" "STATE" "PRESTOCO" "PRESTOST" "CONGTOCO" "PDEMCONT" "PREPCONT" "PDEMSTAT" "PREPSTAT" "CDEMCONT" "CREPCONT" "RFRIENDS" "DFRIENDS" "MFRIENDS" "AGE" "SEX" "RACE" "REGION" "DIDVOTE" "VOTE" "PARTREG" "VOTEVALI"
"11" 5 5 NA 13 15 15 5 24 24 57 61 NA NA NA 49 100 100 100 70 60 NA 70 100 85 50 0 30 100 100 100 70 60 70 0 0 60 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 5 5 5 2 3 4 10 10 16 120 5 26 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 82 2 1 4 1 2 1 NA
"12" NA NA NA 7 3 3 1 24 8 77 NA NA NA NA NA 100 NA NA 85 NA NA 85 NA NA 85 NA NA 100 NA NA 85 NA NA 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA 2 5 NA NA 2 2 2 7 12 17 140 2 29 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 56 1 1 4 NA NA NA NA
"13" NA NA NA 11 15 11 5 40 40 37 54 46 NA NA 58 50 60 55 50 70 60 60 70 75 100 85 70 40 55 40 40 55 40 30 55 35 4 5 5 6 4 4 3 2 5 3 3 5 3 2 3 5 5 5 5 5 5 5 5 3 4 4 12 16 4 138 3 20 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 22 2 1 4 1 1 2 NA
"14" NA NA NA 3 5 5 3 16 13 52.2 NA 52 NA NA 54 50 60 60 50 45 40 50 50 40 100 60 70 50 40 60 51 60 60 51 55 50 2 3 4 5 5 3 3 NA 5 4 6 6 6 3 3 5 3 3 3 5 1 1 1 2 2 2 7 13 5 NA NA 18 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 23 1 1 4 2 NA NA NA
"15" 5 5 3 9 9 9 3 21 20 71 60 58 NA NA 48 60 60 40 60 60 40 50 60 60 60 50 60 80 60 60 40 40 30 70 60 60 3 3 3 4 4 4 7 6 6 4 5 4 4 4 4 5 2 4 4 5 5 5 5 3 4 4 12 17 19 120 2 36 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 41 2 1 4 1 2 NA NA
"16" NA NA NA 7 7 11 3 24 24 28 30 24 NA NA 71 50 0 50 50 70 70 50 50 60 40 50 50 70 0 0 85 70 85 0 50 70 7 7 6 2 1 1 4 6 6 6 6 5 1 2 2 7 6 6 7 7 5 5 5 2 2 4 10 12 12 101 2 24 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 47 2 1 4 1 1 3 NA
"17" NA NA NA 11 15 3 1 22 23 54 NA NA NA NA NA 85 0 NA 100 100 NA 70 70 NA 85 85 NA 70 0 NA 70 100 NA 50 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 4 NA NA 4 5 5 NA 2 2 2 7 12 19 120 4 31 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 58 1 1 4 NA NA NA NA
"18" NA NA NA 15 11 11 5 40 31 34 64 56 NA NA 56 100 70 70 70 60 40 100 100 70 70 40 40 100 70 85 0 60 30 0 50 15 3 3 5 5 4 6 2 2 7 3 3 6 6 4 3 3 2 2 2 3 5 5 1 4 4 3 12 16 19 140 1 35 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 34 1 1 4 2 NA NA NA
"19" NA 1 NA 7 13 11 5 19 30 42 44 NA NA NA NA 50 50 50 50 50 50 50 50 50 15 70 70 15 0 40 85 85 60 100 70 85 4 4 4 6 6 5 5 5 6 4 4 5 4 5 3 5 5 5 5 5 1 5 5 2 4 2 9 12 18 136 2 30 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 28 2 1 4 1 1 2 NA
"20" NA NA NA 7 3 5 1 14 26 NA NA 69 NA NA 60 100 85 85 40 70 70 70 70 85 60 70 60 100 85 85 70 NA 70 60 NA 70 6 3 NA 7 6 NA 5 NA NA 5 5 NA 7 6 NA 2 2 2 2 2 5 5 5 3 2 2 8 7 16 NA NA 23 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 26 1 1 4 2 NA NA NA
"21" NA NA NA 3 13 3 1 17 20 NA NA NA NA NA NA 70 60 NA 40 40 NA 60 50 NA 50 50 NA 85 70 NA 40 40 NA 60 40 NA 4 NA NA 5 NA NA 3 NA NA 7 NA NA 3 NA NA 2 2 NA NA 2 NA NA NA 2 2 2 7 16 12 140 5 28 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 30 2 2 4 NA NA NA NA
"22" NA NA NA 9 9 9 3 28 22 61 NA NA NA NA 58 100 100 85 60 50 60 70 70 60 50 30 50 85 70 70 70 70 60 60 30 60 5 NA NA 6 NA NA 5 NA NA 3 NA NA 7 NA NA 1 1 1 1 1 5 5 5 2 2 2 7 11 3 138 5 14 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 60 1 1 4 1 2 1 1
"23" NA NA NA 9 11 11 3 16 24 NA NA 38 NA NA NA 90 NA 50 90 NA 50 NA NA 50 50 NA 50 50 0 0 NA NA 60 90 NA 60 4 NA NA 5 NA NA NA NA NA NA NA NA NA NA NA 4 4 4 4 4 4 1 5 2 2 2 7 7 NA 135 1 NA 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 22 2 1 4 NA NA NA 0
"24" NA NA NA 3 11 13 3 9 18 NA NA NA NA NA NA 100 100 100 50 50 50 100 100 85 80 15 40 75 50 85 50 50 40 100 100 100 4 3 5 5 1 5 3 1 3 4 2 3 4 2 5 1 2 1 1 1 3 5 5 2 2 3 9 11 3 123 2 14 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 30 2 2 4 1 2 1 1
"25" NA NA NA 11 11 11 5 31 20 NA NA NA NA NA NA 100 50 100 60 50 85 85 50 50 50 50 50 80 0 0 60 50 30 100 100 100 4 NA NA 6 NA NA 3 NA NA 3 NA NA 5 NA NA 1 3 2 2 1 5 5 5 2 2 4 9 11 7 123 4 18 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 25 1 2 4 1 2 1 NA
"26" NA NA NA 7 9 5 1 21 19 NA 60 61 NA NA NA 100 100 70 0 50 50 60 70 70 0 70 70 50 30 50 50 50 70 100 100 85 2 6 3 4 4 4 6 4 5 3 NA 4 1 5 4 3 3 3 3 3 3 NA NA 2 2 2 7 14 7 140 2 21 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 30 2 2 4 1 4 1 1
"27" NA NA NA 9 7 9 3 19 24 NA 55 56 NA NA NA 100 85 85 80 50 50 100 NA 70 50 40 50 100 85 85 50 40 30 70 30 15 6 6 5 6 NA NA 3 NA NA 2 NA 4 6 NA 3 1 2 1 1 1 3 3 NA 2 2 2 7 10 1 123 3 11 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 79 2 1 4 2 NA NA NA
"28" NA NA NA 9 5 5 5 12 20 NA NA NA NA NA NA 100 100 85 50 85 70 100 85 60 50 85 60 50 70 85 50 40 60 100 70 85 5 NA NA 7 NA NA 3 NA NA 3 NA NA 5 NA NA 1 2 2 1 1 3 5 5 2 2 2 7 11 7 123 4 18 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 45 2 2 4 1 2 1 0
"29" NA NA NA 9 7 3 1 19 13 NA NA NA NA NA NA 100 85 NA 70 NA NA 100 70 NA 50 0 NA 100 100 NA 50 50 NA 50 70 NA 7 NA NA 6 NA NA 4 NA NA 2 NA NA 6 NA NA 1 1 NA NA 1 NA 5 NA 2 2 2 7 7 4 149 5 11 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 46 2 1 4 NA NA NA NA
"30" 1 NA 1 3 7 7 5 22 15 NA NA NA NA NA NA 100 85 70 50 50 80 50 30 50 NA 30 40 50 50 30 75 85 85 75 50 NA NA 4 NA NA 7 NA NA 2 NA NA 5 NA NA 6 NA 1 1 2 1 1 5 5 5 2 2 4 9 4 3 135 2 7 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 49 1 1 4 1 1 1 1
"31" NA NA NA 15 7 15 1 23 22 48 31 36 NA NA 43 50 60 40 50 30 40 60 15 60 60 0 70 50 50 50 40 40 40 60 0 30 5 6 6 2 5 4 1 3 3 3 3 3 6 5 5 2 6 5 NA 2 5 1 5 3 2 2 8 11 20 140 2 31 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 21 2 1 4 NA NA NA NA
